LONGITUDE,LATITUDE,CELL_RSRP,CELL_RSRQ,CELL_SINR,CELL_CELLID,зЪЙмаЁЧјКХ,ИњзйЧјТы,ЧјЯи
121.1675686,30.06755018,-87,-6,1.1,189001729,189001729,22342,грвІ
121.1688841,30.0674726,-89,-6,1.1,189001729,189001729,22342,грвІ
121.032358,30.163338,-97,-12,0.7,198066434,198066434,22720,грвІ
121.1907446,30.00669651,-87,-13,2,103198209,103198209,26566,грвІ
121.1232338,30.16375597,-85.44444444,-10.77777778,1,156774017,156774017,26696,грвІ
121.1087694,30.05754104,-92,-12,1.6,156754051,156754051,26699,грвІ
121.3631046,29.9719752,-98.4,-12.4,1.56,186876163,186876163,26399,грвІ
121.185294,30.030609,-95,-16,-10,156865153,156865153,22604,грвІ
121.1010802,30.15562012,-78,-9.666666667,0.666666667,265168515,265168515,26696,грвІ
121.1010802,30.15562012,-81,-10,0,119747779,119747779,26696,грвІ
121.1010802,30.15562012,-79.6,-12.2,-1.4,265168513,265168513,26696,грвІ
121.1526418,30.0493364,-95,-11.6,2.6,197990147,197990147,26564,грвІ
121.152796,30.049178,-94.66666667,-12,2.2,197990147,197990147,26564,грвІ
121.1269103,30.04862874,-89,-13,0.4,265049220,265049220,26562,грвІ
121.125798,30.019205,-79,-12,-0.2,213973313,213973313,26566,грвІ
121.145534,30.098695,-98,-13,1.1,186982913,186982913,26696,грвІ
121.1237601,30.03606876,-78,-12,-10,214681921,214681921,26562,грвІ
121.156486,30.015119,-85,-11,0,81097857,81097857,26566,грвІ
121.1561718,30.01506254,-86.88888889,-11.11111111,1,81097857,81097857,26566,грвІ
121.173368,30.158125,-98.4,-14.6,-3.16,197925122,197925122,26695,грвІ
121.173368,30.158125,-98.25,-12,-1.55,152351362,152351362,26695,грвІ
121.173368,30.158125,-99,-13,-0.2,102991877,102991877,26695,грвІ
121.155373,30.002517,-96,-11,2.2,152490371,152490371,26566,грвІ
121.155373,30.002517,-96,-17,0.5,198004995,198004995,26566,грвІ
121.1619148,30.07694667,-99.5,-13,-4.166666667,103009794,103009794,26700,грвІ
121.161757,30.076969,-98,-12,-6,103009794,103009794,26700,грвІ
121.161386,30.076522,-99,-14,-2,103009794,103009794,26700,грвІ
120.9690169,30.11477322,-89.125,-7,2,186891790,186891790,22720,грвІ
121.0584616,30.22192864,-98.25,-10.25,2.6,265182082,265182082,22344,грвІ
121.1611443,30.06373225,-99.88888889,-10.88888889,1.888888889,103003649,103003649,26562,грвІ
121.0677829,30.24221815,-92,-11,2.8,156663682,156663682,22344,грвІ
121.0677406,30.24218099,-98,-15,-2.2,214011464,214011464,22344,грвІ
121.0677927,30.24215852,-94.16666667,-11.66666667,0.233333333,214457410,214457410,22344,грвІ
121.0677615,30.24217367,-95,-12,-3,208645442,208645442,22344,грвІ
121.2497461,29.99851752,-99,-14,0,198028291,198028291,26399,грвІ
121.102578,30.168587,-92.28571429,-12,2.242857143,152491395,152491395,26696,грвІ
121.107903,30.166258,-93,-12.5,0.35,152491395,152491395,26696,грвІ
121.135673,30.000393,-96,-12,1.9,188935427,188935427,26566,грвІ
121.1533945,30.09168206,-95.5,-13,1.5,156374149,156374149,26696,грвІ
121.1459232,30.03727834,-93.83333333,-10,1.266666667,264925316,264925316,22604,грвІ
121.1442936,30.03713108,-93,-9,0.7,186987009,186987009,22604,грвІ
121.146011,30.03739665,-93,-9.5,1,264925316,264925316,22604,грвІ
121.190261,30.058964,-88,-10,2.9,81209729,81209729,22342,грвІ
121.0187468,30.16351369,-97.1,-12.1,2.96,156578946,156578946,22720,грвІ
121.235743,29.987542,-83.4,-12.8,0.22,186764547,186764547,26399,грвІ
121.2463869,30.00552297,-97.4,-12,0.613333333,103037186,103037186,26399,грвІ
121.0742851,30.11694292,-90.2,-11.8,0.72,214465345,214465345,26696,грвІ
121.0743553,30.11689164,-86.66666667,-11.33333333,2.133333333,214459202,214459202,26696,грвІ
121.0744481,30.11696357,-86.5,-11.5,1.2,119784129,119784129,26696,грвІ
121.0132487,30.15728977,-91,-12,2.2,214833219,214833219,22720,грвІ
121.1820282,30.05845721,-93,-13.57142857,0.228571429,214459970,214459970,22342,грвІ
121.186765,30.082526,-95.85714286,-14,2.085714286,81015426,81015426,22342,грвІ
121.2023062,30.02046946,-98.4,-13,0.7,186872577,186872577,26399,грвІ
121.0764958,30.16738647,-92,-14,-0.8,156566914,156566914,22344,грвІ
121.1333456,30.14310252,-95,-10.71428571,0.857142857,103027714,103027714,26696,грвІ
121.1329001,30.14158963,-98,-12,0,103027714,103027714,26696,грвІ
121.1333313,30.14299737,-92,-10,2,103027714,103027714,26696,грвІ
121.1785471,30.16637288,-89,-13,1.8,197925122,197925122,26695,грвІ
121.1772941,30.166537,-80,-11,2.2,102991874,102991874,26695,грвІ
121.1758727,30.16675293,-86,-12,-0.6,197925121,197925121,26695,грвІ
121.1691817,30.06393676,-95,-13,-1.8,152052609,152052609,26562,грвІ
121.1693905,30.063845,-99,-14.5,-1.5,265052292,265052292,26562,грвІ
121.169345,30.063847,-97,-14,1.8,265047174,265047174,22342,грвІ
121.1694256,30.06384481,-96.33333333,-14.11111111,-0.2,103006466,103006466,22342,грвІ
120.9664548,30.10937251,-99.55555556,-13.66666667,-1.644444444,156773505,156773505,22720,грвІ
120.9664501,30.10937486,-98.5,-12.5,0.1,156872066,156872066,22720,грвІ
121.23766,29.984829,-92.33333333,-12.33333333,1.933333333,186764545,186764545,26399,грвІ
121.1608633,30.02639847,-86.66666667,-12.33333333,-3.333333333,103078913,103078913,22604,грвІ
121.160756,30.02664334,-88.5,-13,-3,103021314,103021314,22604,грвІ
121.160931,30.026988,-85,-13,-3,103021314,103021314,22604,грвІ
121.1343495,30.04360099,-97.2,-10.7,1.9,208696130,208696130,26562,грвІ
121.057705,30.06262017,-84.5,-13,0.6,156662918,156662918,26699,грвІ
