RSRP,SINR,ECI,ИњзйЧј,ЧјЯи,samples_of_tac,wgs_lon,wgs_lat,tac_cluster
-99.0,-1.0,156603272,22344.0,грвІ,1021,121.07533049999999,30.25387605,22344_3
-100.0,0.0,156603272,22344.0,грвІ,1021,121.07533190000001,30.25387773,22344_3
-101.0,-1.0,156603272,22344.0,грвІ,1021,121.07533159999998,30.2538779,22344_3
-99.0,-1.0,156603272,22344.0,грвІ,1021,121.075331,30.25387772,22344_3
-98.0,0.0,156603272,22344.0,грвІ,1021,121.07533000000001,30.25387744,22344_3
-100.0,1.0,186811653,22344.0,грвІ,1021,121.07529650000001,30.25388823,22344_3
-97.0,2.0,186811653,22344.0,грвІ,1021,121.07530659999999,30.25391111,22344_3
-98.0,0.0,186811653,22344.0,грвІ,1021,121.07529550000001,30.253894199999998,22344_3
-96.0,1.0,186811653,22344.0,грвІ,1021,121.0752998,30.25386297,22344_3
-99.0,0.0,186811653,22344.0,грвІ,1021,121.07532959999999,30.25387738,22344_3
-96.0,0.0,186811653,22344.0,грвІ,1021,121.0752676,30.25383102,22344_3
-111.0,1.8,186811650,22344.0,грвІ,1021,121.07518026678646,30.254518586727276,22344_3
-100.0,-1.0,186811650,22344.0,грвІ,1021,121.07529640000001,30.25388943,22344_3
-99.0,2.0,186811650,22344.0,грвІ,1021,121.0752992,30.25388906,22344_3
-101.0,-2.0,186811650,22344.0,грвІ,1021,121.0752842,30.25393041,22344_3
-104.2,-1.78,119783363,22344.0,грвІ,1021,121.0668438525311,30.242325692584284,22344_0
